epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,22407.2,1.87887,2.27188,2.88801,0.85597,0.85007,0.88793,0.70384,1.59853,1.32098,2.70295,0.00839125,0.00839125,0.00839125
67,22745.4,1.89433,2.31564,2.89196,0.88674,0.83446,0.89193,0.73471,1.53572,1.28324,2.59774,0.0083665,0.0083665,0.0083665
68,23083.5,1.90569,2.35925,2.92126,0.88276,0.84463,0.89461,0.72423,1.58532,1.28265,2.63548,0.00834175,0.00834175,0.00834175
69,23421.2,1.86999,2.3069,2.88615,0.90515,0.82199,0.87874,0.71881,1.48422,1.38042,2.5202,0.008317,0.008317,0.008317
70,23759.4,1.88667,2.32227,2.89986,0.86425,0.81588,0.87223,0.71348,1.52944,1.33859,2.59696,0.00829225,0.00829225,0.00829225
71,24097.8,1.8725,2.32434,2.89452,0.88932,0.82972,0.88929,0.7096,1.58952,1.35885,2.65261,0.0082675,0.0082675,0.0082675
72,24436.1,1.8698,2.29645,2.8794,0.87876,0.83187,0.89777,0.71922,1.56142,1.3567,2.70002,0.00824275,0.00824275,0.00824275
73,24776,1.85327,2.2715,2.88046,0.88318,0.85493,0.9049,0.72421,1.54379,1.27162,2.68062,0.008218,0.008218,0.008218
74,25114.1,1.8845,2.25819,2.89368,0.88875,0.87618,0.8999,0.73194,1.49116,1.27779,2.53472,0.00819325,0.00819325,0.00819325
75,25452.2,1.86817,2.28779,2.88176,0.86714,0.81643,0.87738,0.7113,1.53936,1.42701,2.63137,0.0081685,0.0081685,0.0081685
76,25810.3,1.86429,2.26903,2.87306,0.86589,0.84237,0.90002,0.73658,1.51291,1.35598,2.54412,0.00814375,0.00814375,0.00814375
77,26172.6,1.85698,2.28553,2.86613,0.83199,0.86988,0.88885,0.73226,1.50597,1.36433,2.58151,0.008119,0.008119,0.008119
78,26531.1,1.84387,2.25306,2.8579,0.82702,0.87721,0.87629,0.72477,1.4777,1.30443,2.52112,0.00809425,0.00809425,0.00809425
79,26869.4,1.83547,2.22004,2.86762,0.93313,0.81145,0.90502,0.76229,1.43939,1.22877,2.54721,0.0080695,0.0080695,0.0080695
80,27208.8,1.83562,2.18729,2.85651,0.87589,0.82288,0.89023,0.73548,1.48924,1.33418,2.63019,0.00804475,0.00804475,0.00804475
81,27548.1,1.85966,2.2567,2.88154,0.86066,0.81953,0.89219,0.74297,1.5699,1.3299,2.60802,0.00802,0.00802,0.00802
82,27886.6,1.84799,2.21255,2.86885,0.87799,0.8818,0.91149,0.75383,1.44804,1.16851,2.54615,0.00799525,0.00799525,0.00799525
83,28225.4,1.81211,2.17106,2.84364,0.91065,0.82414,0.88761,0.72675,1.52385,1.33094,2.65534,0.0079705,0.0079705,0.0079705
84,28564.9,1.82251,2.1645,2.83668,0.90383,0.85013,0.89814,0.72096,1.52789,1.3711,2.58787,0.00794575,0.00794575,0.00794575
85,28903.8,1.82281,2.16817,2.85056,0.89192,0.84383,0.87739,0.72281,1.55934,1.33026,2.68611,0.007921,0.007921,0.007921
86,29244,1.81938,2.20525,2.84946,0.92792,0.81527,0.88555,0.72984,1.54563,1.19157,2.71205,0.00789625,0.00789625,0.00789625
87,29580.7,1.81469,2.20929,2.83547,0.90567,0.84095,0.90324,0.73122,1.55557,1.27885,2.64195,0.0078715,0.0078715,0.0078715
88,29917.7,1.79036,2.14637,2.81972,0.87188,0.87094,0.89433,0.72004,1.50961,1.34592,2.59956,0.00784675,0.00784675,0.00784675
89,30254.8,1.79253,2.18604,2.83297,0.87526,0.8844,0.90131,0.73398,1.51557,1.26207,2.62812,0.007822,0.007822,0.007822
90,30595.1,1.81397,2.17693,2.84617,0.90033,0.85226,0.89968,0.74367,1.5367,1.24111,2.65323,0.00779725,0.00779725,0.00779725
91,30931.9,1.79728,2.16432,2.84269,0.87057,0.85541,0.8833,0.73931,1.40572,1.22976,2.5203,0.0077725,0.0077725,0.0077725
92,31268.6,1.80604,2.09335,2.84195,0.8827,0.86286,0.90601,0.74875,1.41546,1.25814,2.52833,0.00774775,0.00774775,0.00774775
93,31605.5,1.79875,2.09308,2.82897,0.88013,0.84386,0.8849,0.73759,1.47768,1.31007,2.52318,0.007723,0.007723,0.007723
94,31942.1,1.79257,2.11731,2.82974,0.88664,0.82927,0.89129,0.74153,1.44538,1.2162,2.49897,0.00769825,0.00769825,0.00769825
95,32278,1.79068,2.11519,2.81472,0.84634,0.85888,0.88791,0.73434,1.48013,1.25278,2.56519,0.0076735,0.0076735,0.0076735
96,32614.2,1.78548,2.08855,2.80935,0.87497,0.84752,0.8925,0.74077,1.52797,1.1876,2.59534,0.00764875,0.00764875,0.00764875
97,32951.2,1.7872,2.10126,2.81096,0.9118,0.82647,0.89562,0.73694,1.54856,1.19891,2.69703,0.007624,0.007624,0.007624
98,33287.7,1.7671,2.10572,2.80092,0.84552,0.85101,0.88313,0.73414,1.50792,1.27976,2.64357,0.00759925,0.00759925,0.00759925
99,33624.3,1.77459,2.09684,2.8058,0.87376,0.84856,0.87333,0.74449,1.47239,1.26547,2.56244,0.0075745,0.0075745,0.0075745
100,33960.9,1.78153,2.10315,2.81496,0.90352,0.85351,0.89103,0.74229,1.52949,1.18023,2.6264,0.00754975,0.00754975,0.00754975
101,34298.2,1.75179,2.05386,2.78893,0.91801,0.84823,0.89301,0.74545,1.48014,1.24187,2.52688,0.007525,0.007525,0.007525
102,34640.3,1.78056,2.05021,2.81342,0.88764,0.84974,0.89148,0.75052,1.48297,1.16893,2.58857,0.00750025,0.00750025,0.00750025
