epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,23304.4,1.86624,2.11333,2.90822,0.90385,0.80771,0.89194,0.6569,1.93734,1.29843,2.97811,0.007624,0.007624,0.007624
74,23626.8,1.86969,2.05303,2.90007,0.89317,0.83078,0.91063,0.67915,1.91477,1.17734,2.85167,0.007591,0.007591,0.007591
75,23948,1.8432,2.09692,2.88553,0.8657,0.80923,0.87183,0.66552,1.82645,1.38505,2.84918,0.007558,0.007558,0.007558
76,24270.6,1.84417,2.054,2.87841,0.89167,0.82516,0.89631,0.68722,1.75897,1.20084,2.72448,0.007525,0.007525,0.007525
77,24595.6,1.82983,2.02892,2.86504,0.89544,0.81615,0.90034,0.70204,1.6723,1.14611,2.67932,0.007492,0.007492,0.007492
78,24917.6,1.82291,2.02411,2.85903,0.88714,0.84646,0.90132,0.694,1.79315,1.13912,2.79083,0.007459,0.007459,0.007459
79,25239.8,1.82394,1.9978,2.86763,0.918,0.82895,0.91146,0.70831,1.71716,1.12482,2.68318,0.007426,0.007426,0.007426
80,25560.8,1.80562,1.98045,2.85531,0.88439,0.86309,0.91658,0.71532,1.66318,1.09829,2.64776,0.007393,0.007393,0.007393
81,25882.3,1.8304,1.96865,2.86283,0.90093,0.8477,0.91052,0.71072,1.68585,1.14991,2.68068,0.00736,0.00736,0.00736
82,26203.2,1.79991,1.99012,2.84263,0.89818,0.8261,0.90086,0.6973,1.72352,1.22477,2.71674,0.007327,0.007327,0.007327
83,26522.5,1.82567,1.99971,2.85584,0.88779,0.8367,0.90986,0.70511,1.71744,1.15217,2.74063,0.007294,0.007294,0.007294
84,26841.1,1.79245,1.9868,2.82531,0.90473,0.85049,0.91649,0.71282,1.73196,1.09337,2.70528,0.007261,0.007261,0.007261
85,27168.6,1.79537,1.93266,2.83108,0.91385,0.84076,0.91678,0.72785,1.62239,1.0793,2.61579,0.007228,0.007228,0.007228
86,27486.8,1.8028,1.93983,2.84668,0.90396,0.83039,0.91224,0.71181,1.63588,1.13398,2.70561,0.007195,0.007195,0.007195
87,27804,1.76678,1.92631,2.82439,0.88447,0.82056,0.90147,0.71941,1.56116,1.17203,2.62241,0.007162,0.007162,0.007162
88,28120.5,1.79837,1.96522,2.83341,0.90426,0.8411,0.9144,0.73526,1.53473,1.06434,2.58654,0.007129,0.007129,0.007129
89,28435.6,1.77835,1.89741,2.81834,0.9336,0.82132,0.91433,0.71557,1.70187,1.12024,2.61836,0.007096,0.007096,0.007096
90,28752.5,1.79262,1.90896,2.83269,0.90371,0.84644,0.91464,0.72957,1.57913,1.09864,2.56906,0.007063,0.007063,0.007063
91,29068.8,1.76856,1.92966,2.80822,0.91683,0.83066,0.91091,0.7118,1.73809,1.09174,2.68474,0.00703,0.00703,0.00703
92,29385.8,1.74326,1.88454,2.79295,0.89294,0.85194,0.91001,0.71047,1.69737,1.11471,2.66468,0.006997,0.006997,0.006997
93,29716.7,1.74101,1.86931,2.78887,0.90757,0.83403,0.91615,0.70843,1.75297,1.12249,2.69536,0.006964,0.006964,0.006964
94,30047.7,1.75288,1.84176,2.79794,0.91522,0.86303,0.92295,0.71965,1.66887,1.06746,2.63864,0.006931,0.006931,0.006931
95,30376.6,1.76883,1.87249,2.80759,0.89669,0.87197,0.91903,0.72023,1.67754,1.08034,2.65202,0.006898,0.006898,0.006898
96,30701.1,1.747,1.87368,2.80414,0.91222,0.84854,0.9166,0.71764,1.68876,1.07911,2.64246,0.006865,0.006865,0.006865
97,31030.4,1.73,1.85518,2.78423,0.90798,0.85536,0.92682,0.75087,1.51607,1.0332,2.51579,0.006832,0.006832,0.006832
98,31353.8,1.70409,1.82291,2.76019,0.93527,0.8567,0.92329,0.73229,1.66975,1.03092,2.67644,0.006799,0.006799,0.006799
99,31676.8,1.72675,1.8626,2.78335,0.92161,0.85467,0.92534,0.73154,1.68629,1.0406,2.67707,0.006766,0.006766,0.006766
100,31999.6,1.69566,1.83331,2.75736,0.92487,0.84958,0.91916,0.73822,1.61913,1.02179,2.65547,0.006733,0.006733,0.006733
101,32322.7,1.70797,1.76954,2.77429,0.89857,0.8361,0.90106,0.72095,1.59906,1.11937,2.59067,0.0067,0.0067,0.0067
102,32649.5,1.70747,1.84304,2.76606,0.93957,0.82937,0.91616,0.72009,1.69069,1.06086,2.66341,0.006667,0.006667,0.006667
103,32974.6,1.72715,1.80139,2.76946,0.91205,0.85991,0.92777,0.74618,1.55435,1.01956,2.55448,0.006634,0.006634,0.006634
104,33298.5,1.71105,1.78303,2.76868,0.92167,0.83709,0.90892,0.72915,1.58906,1.08955,2.62353,0.006601,0.006601,0.006601
105,33622.5,1.69927,1.80347,2.75382,0.91327,0.85034,0.91564,0.72962,1.6261,1.05895,2.65593,0.006568,0.006568,0.006568
106,33946.4,1.68088,1.74244,2.75182,0.92461,0.85474,0.92355,0.7458,1.55938,1.02566,2.56679,0.006535,0.006535,0.006535
107,34271.5,1.70505,1.77482,2.76776,0.91775,0.85627,0.92697,0.75323,1.5435,0.98137,2.54383,0.006502,0.006502,0.006502
108,34600.5,1.66772,1.78516,2.73287,0.90567,0.88418,0.92955,0.75037,1.5599,1.0004,2.57935,0.006469,0.006469,0.006469
109,34925.8,1.68264,1.72731,2.73639,0.9183,0.85845,0.92743,0.72688,1.72753,0.99834,2.70784,0.006436,0.006436,0.006436
110,35248.1,1.68548,1.79448,2.75396,0.92735,0.85321,0.91966,0.72609,1.65745,1.05054,2.64036,0.006403,0.006403,0.006403
111,35569.4,1.68015,1.78596,2.75642,0.91615,0.85203,0.91593,0.73449,1.61968,1.03782,2.60003,0.00637,0.00637,0.00637
112,35891.8,1.65991,1.74648,2.74763,0.93077,0.84741,0.92217,0.7315,1.65173,1.05618,2.66293,0.006337,0.006337,0.006337
113,36211.6,1.6894,1.79221,2.74161,0.90506,0.86753,0.92645,0.72279,1.70255,1.11109,2.73589,0.006304,0.006304,0.006304
114,36533.3,1.66636,1.7455,2.71919,0.93294,0.85842,0.93283,0.72543,1.68017,1.00674,2.74758,0.006271,0.006271,0.006271
115,36854.4,1.65993,1.72731,2.7295,0.94615,0.8537,0.93393,0.74569,1.58322,0.97658,2.59943,0.006238,0.006238,0.006238
116,37175.6,1.67237,1.72607,2.71504,0.9543,0.8515,0.93154,0.74843,1.60362,0.99904,2.60678,0.006205,0.006205,0.006205
117,37496.1,1.6617,1.71118,2.72056,0.91311,0.85762,0.91939,0.73194,1.63491,1.03225,2.65161,0.006172,0.006172,0.006172
118,37817.6,1.6291,1.66078,2.67826,0.9131,0.86349,0.91657,0.72719,1.64847,1.03746,2.63535,0.006139,0.006139,0.006139
119,38137.8,1.65599,1.72276,2.72207,0.91603,0.85782,0.92042,0.7282,1.69252,1.03452,2.6505,0.006106,0.006106,0.006106
120,38458.9,1.66599,1.72867,2.73436,0.92813,0.85917,0.9242,0.72586,1.76149,1.01024,2.72093,0.006073,0.006073,0.006073
121,38785.6,1.64137,1.71251,2.70094,0.90551,0.88128,0.92008,0.73295,1.65978,1.01997,2.64023,0.00604,0.00604,0.00604
122,39114.3,1.627,1.66003,2.68394,0.94277,0.8537,0.93179,0.74217,1.6252,0.99203,2.60486,0.006007,0.006007,0.006007
123,39436.5,1.63304,1.70067,2.70991,0.91239,0.87395,0.92714,0.74605,1.55916,0.98706,2.56948,0.005974,0.005974,0.005974
124,39759.1,1.65249,1.70692,2.72263,0.91223,0.86708,0.92294,0.73961,1.56032,0.99473,2.56457,0.005941,0.005941,0.005941
125,40079.9,1.63234,1.69524,2.70287,0.91159,0.86838,0.9256,0.74425,1.57704,1.00625,2.57437,0.005908,0.005908,0.005908
126,40399,1.67506,1.71601,2.73239,0.90942,0.85016,0.91751,0.71446,1.77822,1.09672,2.72424,0.005875,0.005875,0.005875
127,40724.3,1.63813,1.70813,2.70558,0.93148,0.8775,0.93393,0.73473,1.68515,1.0086,2.60723,0.005842,0.005842,0.005842
128,41043.1,1.62798,1.69714,2.70592,0.91929,0.87013,0.92447,0.72548,1.72783,1.03794,2.65852,0.005809,0.005809,0.005809
129,41362.2,1.63023,1.68081,2.68682,0.94309,0.85716,0.9337,0.74441,1.64961,0.99917,2.55668,0.005776,0.005776,0.005776
130,41680.1,1.59886,1.6327,2.66305,0.93134,0.85667,0.92691,0.72601,1.76634,1.04237,2.68056,0.005743,0.005743,0.005743
131,41998.5,1.62326,1.62786,2.67723,0.92975,0.85764,0.9321,0.73239,1.71603,1.01729,2.66012,0.00571,0.00571,0.00571
132,42316.9,1.58475,1.62383,2.66763,0.925,0.88179,0.93441,0.73886,1.6989,0.99739,2.62333,0.005677,0.005677,0.005677
